year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,year_month,year_month_key,delayed_rate,cancellation_rate,avg_delay_min_per_delayed_flight,carrier_cause_share_ct,weather_cause_share_ct,nas_cause_share_ct,security_cause_share_ct,late_aircraft_cause_share_ct,carrier_cause_share_min,weather_cause_share_min,nas_cause_share_min,security_cause_share_min,late_aircraft_cause_share_min,cause_counts_exceed_delayed_flag
2020,12,F9,Frontier Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",131.0,7.0,3.11,0.0,2.88,0.0,1.01,0.0,0.0,417.0,292.0,0.0,51.0,0.0,74.0,2020-12-01,2020-12,0.05343511450381679,0.0,59.57142857142857,0.4442857142857143,0.0,0.4114285714285714,0.0,0.1442857142857143,0.7002398081534772,0.0,0.1223021582733813,0.0,0.1774580335731415,False
2019,12,EV,ExpressJet Airlines LLC,TUS,"Tucson, AZ: Tucson International",18.0,5.0,1.59,0.25,3.17,0.0,0.0,0.0,0.0,264.0,89.0,16.0,159.0,0.0,0.0,2019-12-01,2019-12,0.2777777777777778,0.0,52.8,0.318,0.05,0.634,0.0,0.0,0.3371212121212121,0.06060606060606061,0.6022727272727273,0.0,0.0,True
2019,12,UA,United Air Lines Inc.,MIA,"Miami, FL: Miami International",564.0,143.0,37.62,6.19,50.14,0.0,49.05,0.0,0.0,8832.0,2403.0,669.0,1849.0,0.0,3911.0,2019-12-01,2019-12,0.25354609929078015,0.0,61.76223776223776,0.26307692307692304,0.04328671328671329,0.3506293706293706,0.0,0.343006993006993,0.2720788043478261,0.07574728260869565,0.20935235507246377,0.0,0.44282155797101447,False
2019,12,UA,United Air Lines Inc.,BNA,"Nashville, TN: Nashville International",236.0,60.0,16.4,0.89,18.48,0.0,24.23,2.0,1.0,4138.0,975.0,20.0,712.0,0.0,2431.0,2019-12-01,2019-12,0.2542372881355932,0.008368200836820083,68.96666666666667,0.2733333333333333,0.014833333333333334,0.308,0.0,0.4038333333333333,0.23562107298211696,0.004833252779120348,0.1720637989366844,0.0,0.5874818753020783,False
2020,12,UA,United Air Lines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",294.0,24.0,12.13,0.0,6.91,0.0,4.97,1.0,1.0,1658.0,711.0,0.0,200.0,0.0,747.0,2020-12-01,2020-12,0.08163265306122448,0.0033783783783783786,69.08333333333333,0.5054166666666667,0.0,0.28791666666666665,0.0,0.2070833333333333,0.42882991556091676,0.0,0.12062726176115803,0.0,0.4505428226779252,True
2019,12,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",131.0,18.0,6.86,0.05,6.97,0.0,4.13,4.0,1.0,1531.0,986.0,2.0,272.0,0.0,271.0,2019-12-01,2019-12,0.13740458015267176,0.029411764705882353,85.05555555555556,0.3811111111111111,0.002777777777777778,0.3872222222222222,0.0,0.22944444444444445,0.6440235140431091,0.0013063357282821686,0.17766165904637493,0.0,0.17700849118223383,True
2020,12,OO,SkyWest Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",168.0,10.0,6.0,1.0,1.0,0.0,2.0,1.0,0.0,305.0,136.0,104.0,15.0,0.0,50.0,2020-12-01,2020-12,0.05952380952380952,0.005917159763313609,30.5,0.6,0.1,0.1,0.0,0.2,0.4459016393442623,0.34098360655737703,0.04918032786885246,0.0,0.16393442622950818,False
2020,12,9E,Endeavor Air Inc.,TLH,"Tallahassee, FL: Tallahassee International",61.0,1.0,0.78,0.0,0.22,0.0,0.0,0.0,0.0,23.0,18.0,0.0,5.0,0.0,0.0,2020-12-01,2020-12,0.01639344262295082,0.0,23.0,0.78,0.0,0.22,0.0,0.0,0.782608695652174,0.0,0.21739130434782608,0.0,0.0,False
2020,12,OO,SkyWest Airlines Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",31.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,325.0,192.0,133.0,0.0,0.0,0.0,2020-12-01,2020-12,0.22580645161290322,0.0,46.42857142857143,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.5907692307692308,0.40923076923076923,0.0,0.0,0.0,False
2019,12,NK,Spirit Air Lines,STX,"Christiansted, VI: Henry E. Rohlsen",14.0,4.0,1.94,0.0,2.06,0.0,0.0,0.0,0.0,379.0,32.0,0.0,347.0,0.0,0.0,2019-12-01,2019-12,0.2857142857142857,0.0,94.75,0.485,0.0,0.515,0.0,0.0,0.08443271767810026,0.0,0.9155672823218998,0.0,0.0,False
